depth	min	max	median	mean
0	-76	-17	-44	-45
1	-67	7	-33	-32
2	-62	41	-23	-20
3	-58	79	-13	-7
4	-55	117	-4	6
5	-52	156	6	18
6	-43	171	18	30
7	-37	184	31	42
8	-32	204	42	54
9	-28	227	54	66
10	-25	253	65	78
11	-14	266	76	89
12	-8	279	89	101
13	-3	298	100	112
14	2	318	112	124
15	6	343	123	135
16	18	356	134	147
17	26	370	145	158
18	32	382	157	169
19	37	399	168	181
20	43	422	179	192
21	54	429	189	203
22	63	441	199	214
23	69	455	210	225
24	75	470	220	236
25	82	487	231	247
26	97	503	247	263
27	108	523	263	280
28	117	543	280	296
29	126	570	295	312
30	134	597	310	328
31	151	613	328	345
32	165	631	345	362
33	175	653	362	378
34	184	678	380	395
35	191	705	396	412
36	208	719	414	429
37	221	735	431	446
38	235	759	449	464
39	246	779	467	481
40	255	806	484	498
41	270	824	502	515
42	285	840	520	532
43	298	863	537	549
44	310	886	555	567
45	321	914	572	584
46	339	931	590	601
47	354	949	607	619
48	367	969	625	636
49	377	991	642	653
50	387	1015	660	671
51	407	1030	678	688
52	423	1047	696	706
53	438	1065	715	724
54	450	1088	733	741
55	462	1114	750	759
56	483	1128	767	777
57	498	1146	784	794
58	515	1164	803	812
59	530	1185	821	829
60	544	1208	839	847
61	562	1223	856	864
62	581	1240	874	881
63	595	1260	891	898
64	608	1278	908	915
65	620	1300	924	932
66	639	1315	941	950
67	658	1328	959	967
68	673	1350	976	985
69	688	1370	995	1002
70	701	1390	1012	1020
71	721	1407	1029	1038
72	738	1422	1047	1056
73	752	1441	1066	1073
74	765	1460	1084	1091
75	778	1476	1102	1109
76	800	1490	1119	1127
77	821	1501	1136	1144
78	834	1521	1154	1162
79	850	1543	1172	1180
80	862	1566	1190	1198
81	884	1580	1208	1215
82	904	1596	1225	1233
83	919	1611	1243	1250
84	935	1629	1260	1267
85	951	1651	1276	1285
86	974	1668	1294	1302
87	994	1678	1311	1319
88	1013	1693	1328	1336
89	1029	1708	1345	1353
90	1043	1729	1362	1370
91	1069	1742	1379	1388
92	1092	1759	1396	1406
93	1115	1774	1413	1423
94	1133	1793	1430	1441
95	1148	1817	1448	1458
96	1172	1828	1464	1476
97	1200	1842	1482	1493
98	1222	1858	1499	1510
99	1241	1874	1516	1527
100	1254	1895	1534	1545
101	1276	1909	1554	1565
102	1297	1931	1575	1586
103	1312	1954	1597	1607
104	1327	1981	1618	1627
105	1337	2015	1637	1648
106	1363	2037	1658	1669
107	1382	2058	1679	1691
108	1399	2084	1701	1712
109	1412	2116	1722	1734
110	1426	2147	1743	1756
111	1449	2169	1765	1777
112	1468	2191	1787	1799
113	1483	2218	1810	1820
114	1499	2247	1831	1842
115	1511	2281	1853	1863
116	1535	2296	1874	1885
117	1553	2318	1896	1906
118	1571	2341	1918	1927
119	1587	2368	1940	1949
120	1602	2397	1960	1970
121	1624	2416	1982	1992
122	1643	2437	2004	2014
123	1659	2462	2027	2035
124	1674	2489	2048	2057
125	1688	2518	2069	2078
126	1711	2535	2091	2100
127	1729	2555	2112	2121
128	1746	2578	2134	2142
129	1762	2602	2156	2163
130	1776	2630	2176	2184
131	1800	2648	2198	2205
132	1822	2671	2219	2227
133	1838	2693	2240	2248
134	1856	2717	2261	2269
135	1868	2748	2281	2290
136	1896	2764	2304	2312
137	1918	2782	2325	2333
138	1938	2801	2347	2355
139	1952	2826	2369	2376
140	1966	2855	2391	2398
141	1992	2871	2413	2419
142	2015	2888	2436	2441
143	2034	2907	2459	2463
144	2054	2932	2481	2485
145	2067	2960	2503	2506
146	2095	2978	2524	2528
147	2116	3000	2545	2549
148	2132	3020	2568	2571
149	2149	3042	2589	2592
150	2166	3070	2613	2613
151	2188	3087	2634	2635
152	2209	3106	2658	2657
153	2233	3129	2679	2679
154	2249	3152	2702	2701
155	2263	3176	2724	2723
156	2286	3192	2745	2744
157	2309	3211	2767	2765
158	2326	3230	2789	2787
159	2346	3252	2810	2808
160	2361	3276	2831	2830
161	2391	3289	2853	2851
162	2419	3307	2876	2873
163	2439	3323	2899	2894
164	2458	3342	2921	2916
165	2476	3366	2944	2938
166	2502	3382	2964	2959
167	2526	3402	2986	2980
168	2546	3420	3008	3001
169	2567	3442	3029	3022
170	2581	3465	3049	3043
171	2608	3482	3071	3065
172	2634	3498	3096	3086
173	2654	3514	3119	3108
174	2675	3538	3140	3129
175	2693	3564	3161	3151
176	2722	3579	3183	3173
177	2753	3596	3206	3195
178	2773	3613	3229	3217
179	2795	3635	3252	3240
180	2817	3661	3274	3262
181	2848	3678	3295	3284
182	2875	3695	3315	3305
183	2904	3712	3337	3327
184	2928	3731	3358	3349
185	2952	3755	3379	3371
186	2980	3770	3399	3392
187	3004	3785	3420	3414
188	3031	3802	3441	3435
189	3054	3819	3462	3457
190	3072	3844	3484	3479
191	3095	3860	3504	3500
192	3117	3888	3525	3521
193	3133	3915	3545	3542
194	3151	3950	3565	3563
195	3169	3982	3584	3584
196	3190	4001	3604	3604
197	3207	4027	3625	3625
198	3227	4053	3645	3646
199	3240	4082	3665	3667
200	3252	4118	3683	3688
201	3275	4140	3704	3708
202	3291	4166	3724	3728
203	3310	4199	3743	3748
204	3326	4228	3763	3768
205	3341	4259	3782	3788
206	3357	4279	3802	3809
207	3372	4304	3823	3830
208	3391	4327	3843	3850
209	3407	4360	3864	3871
210	3422	4399	3884	3892
211	3444	4418	3904	3912
212	3461	4439	3925	3933
213	3475	4463	3945	3953
214	3492	4490	3966	3974
215	3507	4523	3986	3994
216	3526	4545	4005	4015
217	3542	4568	4025	4035
218	3558	4590	4046	4056
219	3570	4624	4066	4076
220	3582	4655	4086	4097
221	3605	4674	4107	4117
222	3621	4695	4127	4137
223	3637	4719	4146	4157
224	3649	4750	4166	4177
225	3665	4777	4186	4197
226	3687	4801	4207	4218
227	3706	4829	4226	4239
228	3720	4855	4248	4259
229	3733	4888	4267	4280
230	3746	4923	4286	4300
231	3769	4942	4307	4321
232	3788	4959	4327	4341
233	3807	4984	4346	4361
234	3820	5010	4366	4382
235	3834	5034	4387	4402
236	3852	5056	4408	4423
237	3871	5078	4428	4443
238	3889	5108	4450	4463
239	3904	5141	4470	4484
240	3918	5168	4491	4504
241	3939	5185	4511	4525
242	3955	5206	4533	4545
243	3969	5225	4553	4566
244	3982	5250	4574	4587
245	3999	5285	4595	4607
246	4011	5305	4614	4628
247	4033	5324	4636	4648
248	4050	5347	4657	4669
249	4067	5380	4676	4689
250	4083	5411	4696	4710
251	4100	5429	4716	4730
252	4117	5452	4737	4750
253	4137	5480	4757	4771
254	4155	5503	4778	4791
255	4167	5533	4797	4812
256	4186	5553	4817	4832
257	4210	5580	4837	4852
258	4228	5597	4856	4872
259	4246	5622	4877	4893
260	4260	5652	4897	4913
261	4279	5673	4918	4933
262	4297	5696	4938	4953
263	4313	5718	4957	4974
264	4326	5752	4974	4994
265	4338	5777	4995	5014
266	4360	5796	5015	5034
267	4381	5813	5036	5054
268	4398	5837	5057	5074
269	4410	5873	5075	5094
270	4426	5900	5094	5114
271	4446	5922	5113	5134
272	4463	5947	5134	5154
273	4478	5968	5153	5174
274	4494	5998	5174	5194
275	4508	6024	5194	5214
276	4525	6042	5215	5235
277	4539	6068	5235	5255
278	4562	6085	5257	5275
279	4573	6106	5276	5295
280	4584	6134	5294	5316
281	4612	6154	5318	5336
282	4631	6174	5339	5357
283	4647	6197	5358	5377
284	4663	6217	5379	5398
285	4678	6246	5400	5419
286	4700	6269	5420	5439
287	4724	6293	5440	5460
288	4741	6312	5460	5480
289	4755	6340	5480	5500
290	4772	6370	5500	5521
291	4793	6386	5522	5542
292	4809	6406	5540	5563
293	4824	6435	5562	5583
294	4840	6464	5582	5604
295	4857	6494	5602	5625
296	4876	6514	5624	5645
297	4895	6532	5643	5666
298	4910	6556	5664	5686
299	4929	6584	5684	5706
300	4944	6613	5706	5727
301	4963	6632	5727	5747
302	4978	6657	5746	5767
303	4995	6684	5766	5788
304	5008	6708	5784	5808
305	5029	6734	5804	5828
306	5043	6762	5825	5849
307	5059	6782	5847	5870
308	5075	6802	5870	5890
309	5093	6836	5892	5911
310	5107	6865	5914	5932
311	5127	6888	5935	5952
312	5150	6904	5955	5973
313	5170	6932	5977	5993
314	5185	6953	5997	6014
315	5204	6984	6018	6035
316	5224	7005	6039	6055
317	5245	7034	6058	6076
318	5262	7063	6078	6096
319	5279	7097	6099	6117
320	5291	7117	6119	6137
321	5311	7138	6142	6158
322	5332	7162	6160	6179
323	5354	7185	6178	6199
324	5368	7215	6200	6220
325	5381	7238	6220	6241
326	5402	7252	6239	6262
327	5424	7273	6260	6282
328	5443	7291	6282	6303
329	5461	7312	6304	6324
330	5476	7342	6325	6344
331	5486	7367	6347	6365
332	5508	7386	6365	6385
333	5523	7403	6385	6405
334	5545	7433	6404	6425
335	5559	7452	6424	6445
336	5578	7470	6446	6465
337	5592	7494	6466	6486
338	5613	7514	6487	6506
339	5627	7538	6507	6526
340	5643	7563	6526	6546
341	5662	7586	6546	6567
342	5688	7605	6567	6587
343	5706	7628	6587	6607
344	5724	7654	6607	6628
345	5743	7673	6627	6648
346	5760	7701	6648	6669
347	5772	7725	6668	6689
348	5793	7749	6688	6709
349	5812	7774	6707	6729
350	5823	7800	6726	6750
351	5843	7822	6748	6770
352	5866	7850	6768	6791
353	5882	7871	6788	6811
354	5901	7900	6808	6832
355	5921	7924	6828	6852
356	5939	7946	6846	6873
357	5961	7962	6867	6893
358	5973	7983	6889	6913
359	5987	8001	6911	6933
360	6002	8025	6932	6953
361	6024	8047	6953	6973
362	6039	8069	6972	6994
363	6055	8094	6994	7014
364	6069	8117	7014	7035
365	6086	8139	7035	7055
366	6108	8163	7053	7075
367	6129	8184	7072	7096
368	6147	8215	7093	7116
369	6162	8240	7114	7137
370	6180	8261	7135	7157
371	6202	8286	7154	7178
372	6222	8309	7176	7198
373	6239	8329	7198	7219
374	6255	8352	7218	7239
375	6271	8376	7241	7260
376	6287	8400	7261	7280
377	6307	8419	7282	7300
378	6324	8440	7301	7321
379	6339	8468	7320	7341
380	6354	8492	7337	7362
381	6376	8510	7357	7382
382	6393	8532	7377	7402
383	6413	8552	7399	7422
384	6439	8574	7419	7442
385	6457	8593	7437	7462
386	6477	8609	7459	7483
387	6495	8625	7479	7503
388	6510	8652	7501	7524
389	6525	8674	7522	7544
390	6544	8698	7541	7565
391	6562	8721	7561	7585
392	6581	8744	7582	7605
393	6599	8765	7600	7625
394	6619	8789	7619	7645
395	6636	8814	7641	7665
396	6657	8840	7661	7685
397	6676	8861	7681	7705
398	6696	8880	7700	7726
399	6714	8903	7720	7746
400	6730	8928	7740	7766
401	6751	8947	7759	7786
402	6770	8960	7779	7806
403	6789	8989	7798	7826
404	6802	9010	7818	7846
405	6821	9034	7838	7867
406	6842	9054	7858	7887
407	6861	9077	7875	7907
408	6871	9100	7896	7927
409	6889	9129	7917	7947
410	6906	9152	7939	7968
411	6923	9175	7959	7988
412	6940	9193	7979	8008
413	6955	9220	7999	8028
414	6968	9242	8019	8048
415	6982	9271	8042	8068
416	7000	9288	8063	8089
417	7019	9307	8084	8109
418	7038	9330	8105	8129
419	7053	9356	8123	8150
420	7075	9383	8143	8170
421	7090	9397	8163	8190
422	7105	9416	8184	8211
423	7124	9440	8207	8231
424	7137	9465	8227	8251
425	7153	9497	8250	8272
426	7171	9512	8268	8292
427	7186	9532	8288	8312
428	7207	9553	8307	8332
429	7226	9575	8327	8352
430	7244	9594	8346	8372
431	7261	9616	8366	8392
432	7289	9639	8385	8412
433	7306	9666	8406	8433
434	7323	9697	8425	8453
435	7341	9730	8447	8473
436	7359	9744	8468	8493
437	7377	9767	8489	8514
438	7391	9790	8510	8534
439	7408	9815	8530	8555
440	7419	9844	8549	8575
441	7440	9858	8570	8595
442	7458	9881	8591	8616
443	7481	9902	8612	8636
444	7502	9922	8633	8657
445	7522	9944	8654	8677
446	7545	9963	8674	8698
447	7564	9981	8696	8718
448	7581	10000	8719	8739
449	7593	10025	8742	8759
450	7609	10056	8764	8779
451	7630	10080	8784	8799
452	7650	10101	8807	8820
453	7671	10127	8826	8840
454	7690	10149	8843	8860
455	7711	10173	8862	8880
456	7731	10202	8881	8900
457	7748	10221	8901	8920
458	7760	10242	8921	8940
459	7777	10265	8941	8961
460	7793	10286	8960	8981
461	7817	10304	8981	9001
462	7829	10321	8999	9022
463	7847	10340	9021	9043
464	7860	10357	9042	9063
465	7878	10380	9063	9084
466	7897	10403	9082	9104
467	7912	10427	9105	9125
468	7930	10453	9124	9145
469	7947	10480	9144	9166
470	7961	10503	9163	9186
471	7984	10525	9183	9206
472	8010	10550	9201	9227
473	8029	10571	9223	9247
474	8045	10591	9243	9267
475	8069	10619	9262	9287
476	8089	10639	9282	9308
477	8105	10656	9302	9328
478	8121	10682	9322	9349
479	8137	10708	9343	9369
480	8149	10733	9361	9390
481	8171	10758	9382	9410
482	8184	10772	9403	9430
483	8194	10800	9423	9450
484	8222	10823	9442	9470
485	8233	10844	9465	9490
486	8250	10857	9484	9510
487	8269	10877	9506	9530
488	8288	10895	9529	9551
489	8308	10914	9548	9571
490	8326	10936	9571	9591
491	8346	10955	9588	9611
492	8365	10976	9609	9631
493	8385	11002	9629	9651
494	8402	11019	9648	9672
495	8422	11046	9668	9692
496	8440	11065	9689	9712
497	8455	11083	9710	9732
498	8476	11113	9731	9753
499	8493	11137	9752	9773
500	8511	11155	9771	9794
501	8530	11176	9791	9814
502	8549	11210	9813	9834
503	8572	11234	9832	9854
504	8589	11253	9850	9874
505	8601	11272	9868	9894
