depth	min	max	median	mean
1.5	4410	4699	4553	4553
2.5	4427	4705	4568	4567
3.5	4443	4717	4582	4580
4.5	4454	4729	4597	4594
5.5	4464	4751	4609	4607
6.5	4475	4763	4622	4621
7.5	4488	4767	4636	4634
8.5	4499	4773	4651	4647
9.5	4509	4780	4668	4660
10.5	4517	4788	4682	4673
11.5	4535	4797	4697	4686
12.5	4551	4800	4712	4699
13.5	4564	4806	4727	4711
14.5	4575	4815	4740	4724
15.5	4585	4828	4756	4737
16.5	4610	4841	4772	4753
17.5	4637	4857	4789	4773
18.5	4655	4884	4805	4793
19.5	4668	4917	4823	4813
20.5	4681	4959	4841	4834
21.5	4709	4999	4869	4864
22.5	4745	5038	4909	4904
23.5	4771	5088	4950	4944
24.5	4794	5144	4991	4984
25.5	4812	5208	5030	5023
26.5	4855	5252	5076	5069
27.5	4915	5271	5129	5121
28.5	4975	5296	5186	5173
29.5	5025	5345	5237	5225
30.5	5063	5409	5283	5277
31.5	5115	5452	5321	5318
32.5	5177	5465	5353	5349
33.5	5229	5480	5385	5379
34.5	5272	5505	5417	5410
35.5	5304	5545	5447	5441
36.5	5335	5572	5473	5468
37.5	5373	5582	5498	5492
38.5	5407	5595	5523	5516
39.5	5431	5617	5547	5541
40.5	5451	5653	5572	5565
41.5	5475	5678	5592	5586
42.5	5505	5691	5608	5605
43.5	5528	5713	5623	5623
44.5	5543	5750	5641	5642
45.5	5558	5793	5657	5660
46.5	5585	5825	5680	5684
47.5	5623	5837	5712	5714
48.5	5654	5852	5743	5743
49.5	5672	5870	5776	5773
50.5	5684	5904	5808	5802
51.5	5711	5932	5837	5830
52.5	5747	5943	5865	5857
53.5	5772	5963	5892	5884
54.5	5793	5999	5917	5911
55.5	5809	6045	5940	5938
56.5	5837	6077	5962	5962
57.5	5879	6089	5983	5984
58.5	5910	6105	6003	6005
59.5	5927	6130	6024	6027
60.5	5941	6161	6044	6049
61.5	5961	6186	6064	6069
62.5	5987	6201	6086	6088
63.5	6002	6216	6108	6108
64.5	6015	6235	6129	6127
65.5	6023	6257	6149	6146
66.5	6051	6277	6171	6168
67.5	6093	6288	6194	6192
68.5	6122	6297	6217	6215
69.5	6145	6315	6242	6239
70.5	6164	6340	6268	6263
71.5	6185	6361	6287	6283
72.5	6211	6372	6300	6298
73.5	6232	6388	6314	6314
74.5	6247	6412	6327	6329
75.5	6260	6440	6342	6345
76.5	6279	6461	6359	6361
77.5	6301	6474	6377	6379
78.5	6313	6500	6394	6397
79.5	6321	6532	6411	6414
80.5	6327	6578	6426	6432
81.5	6339	6610	6443	6450
82.5	6354	6632	6462	6470
83.5	6366	6663	6481	6489
84.5	6373	6700	6500	6508
85.5	6380	6738	6517	6528
86.5	6393	6782	6535	6547
87.5	6410	6802	6555	6567
88.5	6422	6832	6574	6587
89.5	6433	6872	6594	6608
90.5	6440	6914	6612	6628
91.5	6454	6947	6632	6648
92.5	6472	6964	6653	6668
93.5	6483	6987	6673	6688
94.5	6495	7012	6691	6708
95.5	6503	7042	6710	6728
96.5	6516	7066	6729	6748
97.5	6531	7088	6747	6768
98.5	6544	7117	6768	6788
99.5	6556	7145	6789	6808
